TIMECODE,HOME.LATITUDE,HOME.LONGITUDE,DATE,GPS.LATITUDE,GPS.LONGITUDE,GPS.SATELLITES,BAROMETER,ISO,SHUTTER,FNUM,SPEED.TWOD,SPEED.VERTICAL,SPEED.THREED,DISTANCE,propInt,propInt2,propExtra,NAME
"00:01:51,000","-20.2532","149.0251","1501953221000","-20.2523","149.0239","16","111.78750000000001","100","60","2.2","0","9.76500000000002","9.76500000000002","354.106971598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:52,000","-20.2532","149.0251","1501953222000","-20.2523","149.0239","16","114.05000000000001","100","60","2.2","0","8.14500000000001","8.14500000000001","356.369471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:53,000","-20.2532","149.0251","1501953223000","-20.2523","149.0239","16","115.8125","100","60","2.2","0","6.344999999999959","6.344999999999959","358.131971598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:54,000","-20.2532","149.0251","1501953224000","-20.2523","149.0239","16","117.075","100","60","2.2","0","4.54500000000001","4.54500000000001","359.394471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:55,000","-20.2532","149.0251","1501953225000","-20.2523","149.0239","16","117.83749999999998","100","60","2.2","0","2.744999999999908","2.744999999999908","360.15697159864396","123","456","Prop added in a second instance","mavic_pro"
"00:01:56,000","-20.2532","149.0251","1501953226000","-20.2523","149.0239","16","118.225","100","60","2.2","0","1.3950000000000615","1.3950000000000615","360.544471598644","123","456","Prop added in a second instance","mavic_pro"
"00:01:57,000","-20.2532","149.0251","1501953227000","-20.2523","149.0239","16","118.32499999999999","100","60","2.2","0","0.3599999999999795","0.3599999999999795","360.64447159864403","123","456","Prop added in a second instance","mavic_pro"
"00:01:58,000","-20.2532","149.0251","1501953228000","-20.2523","149.0239","16","118.36249999999998","100","60","2.2","0","0.13499999999997955","0.13499999999997955","360.68197159864405","123","456","Prop added in a second instance","mavic_pro"
"00:01:59,000","-20.2532","149.0251","1501953229000","-20.2523","149.0239","16","118.38749999999999","100","60","2.2","0","0.09000000000002045","0.09000000000002045","360.70697159864403","123","456","Prop added in a second instance","mavic_pro"
"00:02:00,000","-20.2532","149.0251","1501953230000","-20.2523","149.0239","15","118.36249999999998","100","60","2.2","0","-0.09000000000002045","0.09000000000002045","360.731971598644","123","456","Prop added in a second instance","mavic_pro"
"00:02:01,000","-20.2532","149.0251","1501953231000","-20.2523","149.0239","16","118.36249999999998","100","60","2.2","0","0","0","360.731971598644","123","456","Prop added in a second instance","mavic_pro"
"00:02:02,000","-20.2532","149.0251","1501953232000","-20.252312500000002","149.0239","15","118.3625","100","60","2.2","5.009377086385287","5.1159076974727215e-14","5.009377086385287","362.123465233751","123","456","Prop added in a second instance","mavic_pro"
"00:02:03,000","-20.2532","149.0251","1501953233000","-20.252337500000003","149.0239","15","118.37499999999999","100","60","2.2","10.018754171495967","0.04499999999995907","10.01885523145573","364.90648057582206","123","456","Prop added in a second instance","mavic_pro"
"00:02:04,000","-20.2532","149.0251","1501953234000","-20.252375","149.0238875","16","118.3875","100","60","2.2","15.74584859858544","0.045000000000061394","15.745912901117388","369.2803452705769","123","456","Prop added in a second instance","mavic_pro"
"00:02:05,000","-20.2532","149.0251","1501953235000","-20.252425000000002","149.023875","16","118.39999999999999","100","60","2.2","20.581271762287628","0.04499999999995907","20.58132095743949","374.99737886986566","123","456","Prop added in a second instance","mavic_pro"
"00:02:06,000","-20.2532","149.0251","1501953236000","-20.2525","149.02384999999998","16","118.425","100","60","2.2","31.49169528292912","0.09000000000002045","31.491823888000834","383.74510772764364","123","456","Prop added in a second instance","mavic_pro"
